time,load
0.1,0.194
0.2,0.194
0.3,0.194
0.4,0.194
0.5,0.194
0.6,0.117
0.7,0.117
0.8,0.117
0.9,0.117
1,0.117
1.1,-0.012
1.2,-0.012
1.3,-0.012
1.4,-0.012
1.5,-0.012
1.6,0.04
1.7,0.04
1.8,0.04
1.9,0.04
2,0.04
2.1,0.04
2.2,0.04
2.3,0.04
2.4,0.04
2.5,0.04
2.6,0.117
2.7,0.117
2.8,0.117
2.9,0.117
3,0.117
3.1,0.04
3.2,0.04
3.3,0.04
3.4,0.04
3.5,0.04
3.6,0.143
3.7,0.143
3.8,0.143
3.9,0.143
4,0.143
4.1,0.091
4.2,0.091
4.3,0.091
4.4,0.091
4.5,0.091
4.6,0.04
4.7,0.04
4.8,0.04
4.9,0.04
5,0.04
5.1,0.014
5.2,0.014
5.3,0.014
5.4,0.014
5.5,0.014
5.6,2.873
5.7,2.873
5.8,2.873
5.9,2.873
6,2.873
6.1,2.924
6.2,2.924
6.3,2.924
6.4,2.924
6.5,2.924
6.6,2.924
6.7,2.924
6.8,2.924
6.9,2.924
7,2.924
7.1,2.924
7.2,2.924
7.3,2.924
7.4,2.924
7.5,2.924
7.6,2.898
7.7,2.898
7.8,2.898
7.9,2.898
8,2.898
8.1,2.744
8.2,2.744
8.3,2.744
8.4,2.744
8.5,2.744
8.6,2.873
8.7,2.873
8.8,2.873
8.9,2.873
9,2.873
9.1,2.847
9.2,2.847
9.3,2.847
9.4,2.847
9.5,2.847
9.6,2.847
9.7,2.847
9.8,2.847
9.9,2.847
10,2.847
10.1,2.924
10.2,2.924
10.3,2.924
10.4,2.924
10.5,2.924
10.6,4.598
10.7,4.598
10.8,4.598
10.9,4.598
11,4.598
11.1,4.598
11.2,4.598
11.3,4.598
11.4,4.598
11.5,4.598
11.6,4.547
11.7,4.547
11.8,4.547
11.9,4.547
12,4.547
12.1,4.778
12.2,4.778
12.3,4.778
12.4,4.778
12.5,4.778
12.6,4.624
12.7,4.624
12.8,4.624
12.9,4.624
13,4.624
13.1,4.65
13.2,4.65
13.3,4.65
13.4,4.65
13.5,4.65
13.6,4.598
13.7,4.598
13.8,4.598
13.9,4.598
14,4.598
14.1,4.521
14.2,4.521
14.3,4.521
14.4,4.521
14.5,4.521
14.6,4.778
14.7,4.778
14.8,4.778
14.9,4.778
15,4.778
15.1,4.469
15.2,4.469
15.3,4.469
15.4,4.469
15.5,4.469
15.6,4.598
15.7,4.598
15.8,4.598
15.9,4.598
16,4.598
16.1,4.727
16.2,4.727
16.3,4.727
16.4,4.727
16.5,4.727
16.6,4.856
16.7,4.856
16.8,4.856
16.9,4.856
17,4.856
17.1,4.598
17.2,4.598
17.3,4.598
17.4,4.598
17.5,4.598
17.6,4.341
17.7,4.341
17.8,4.341
17.9,4.341
18,4.341
18.1,4.598
18.2,4.598
18.3,4.598
18.4,4.598
18.5,4.598
18.6,4.727
18.7,4.727
18.8,4.727
18.9,4.727
19,4.727
19.1,4.65
19.2,4.65
19.3,4.65
19.4,4.65
19.5,4.65
19.6,4.624
19.7,4.624
19.8,4.624
19.9,4.624
20,4.624
20.1,4.675
20.2,4.675
20.3,4.675
20.4,4.675
20.5,4.675
20.6,4.727
20.7,4.727
20.8,4.727
20.9,4.727
21,4.727
21.1,4.572
21.2,4.572
21.3,4.572
21.4,4.572
21.5,4.572
21.6,4.701
21.7,4.701
21.8,4.701
21.9,4.701
22,4.701
22.1,4.521
22.2,4.521
22.3,4.521
22.4,4.521
22.5,4.521
22.6,4.727
22.7,4.727
22.8,4.727
22.9,4.727
23,4.727
23.1,4.469
23.2,4.469
23.3,4.469
23.4,4.469
23.5,4.469
23.6,4.624
23.7,4.624
23.8,4.624
23.9,4.624
24,4.624
24.1,4.65
24.2,4.65
24.3,4.65
24.4,4.65
24.5,4.65
24.6,4.495
24.7,4.495
24.8,4.495
24.9,4.495
25,4.495
25.1,4.598
25.2,4.598
25.3,4.598
25.4,4.598
25.5,4.598
25.6,6.658
25.7,6.658
25.8,6.658
25.9,6.658
26,6.658
26.1,6.555
26.2,6.555
26.3,6.555
26.4,6.555
26.5,6.555
26.6,6.787
26.7,6.787
26.8,6.787
26.9,6.787
27,6.787
27.1,6.658
27.2,6.658
27.3,6.658
27.4,6.658
27.5,6.658
27.6,6.736
27.7,6.736
27.8,6.736
27.9,6.736
28,6.736
28.1,6.684
28.2,6.684
28.3,6.684
28.4,6.684
28.5,6.684
28.6,6.555
28.7,6.555
28.8,6.555
28.9,6.555
29,6.555
29.1,6.581
29.2,6.581
29.3,6.581
29.4,6.581
29.5,6.581
