,Time [s],Current [A],Power [W],Voltage [V],Capacity [Ah],Energy [Wh]
0,0.0,0.0,0.0,4.08980422467503,0.0,0.0
1,0.06,0.0,0.0,4.099916179872222,0.0,0.0
2,0.12,0.0,0.0,4.086294434533352,0.0,0.0
3,0.24,0.0,0.0,4.093553304520686,0.0,0.0
4,0.48,0.0,0.0,4.101115425715732,0.0,0.0
5,0.96,0.0,0.0,4.098662510240511,0.0,0.0
6,1.92,0.0,0.0,4.086681558656232,0.0,0.0
7,2.92,0.0,0.0,4.081310313419716,0.0,0.0
8,3.92,0.0,0.0,4.08578943773843,0.0,0.0
9,4.92,0.0,0.0,4.103857662218934,0.0,0.0
10,5.92,0.0,0.0,4.092945094149655,0.0,0.0
11,6.92,0.0,0.0,4.095663556695122,0.0,0.0
12,7.92,0.0,0.0,4.097403214130664,0.0,0.0
13,8.92,0.0,0.0,4.115175291950682,0.0,0.0
14,9.92,0.0,0.0,4.0743655050616745,0.0,0.0
15,10.92,0.0,0.0,4.087992809737331,0.0,0.0
16,11.92,0.0,0.0,4.094015980544488,0.0,0.0
17,12.92,0.0,0.0,4.074254263709912,0.0,0.0
18,13.92,0.0,0.0,4.097324648741024,0.0,0.0
19,14.92,0.0,0.0,4.085512122939598,0.0,0.0
20,15.92,0.0,0.0,4.092232281462658,0.0,0.0
21,16.92,0.0,0.0,4.0846321595290975,0.0,0.0
22,17.92,0.0,0.0,4.100669470636008,0.0,0.0
23,18.92,0.0,0.0,4.099243201941654,0.0,0.0
24,19.92,0.0,0.0,4.103539546517339,0.0,0.0
25,20.92,0.0,0.0,4.108160089166951,0.0,0.0
26,21.92,0.0,0.0,4.088666917156345,0.0,0.0
27,22.92,0.0,0.0,4.073633504791396,0.0,0.0
28,23.92,0.0,0.0,4.093472658145548,0.0,0.0
29,24.92,0.0,0.0,4.090324846878132,0.0,0.0
30,25.92,0.0,0.0,4.1036428749327065,0.0,0.0
31,26.92,0.0,0.0,4.10182635940447,0.0,0.0
32,27.92,0.0,0.0,4.084189134329073,0.0,0.0
33,28.92,0.0,0.0,4.09856989811916,0.0,0.0
34,29.92,0.0,0.0,4.091176822811883,0.0,0.0
35,30.92,0.0,0.0,4.0795202610014485,0.0,0.0
36,31.92,0.0,0.0,4.09959884355586,0.0,0.0
37,32.92,0.0,0.0,4.100662042405056,0.0,0.0
38,33.92,0.0,0.0,4.083124557614154,0.0,0.0
39,34.92,0.0,0.0,4.092253272366374,0.0,0.0
40,35.92,0.0,0.0,4.096993174989711,0.0,0.0
41,36.92,0.0,0.0,4.09815258122335,0.0,0.0
42,37.92,0.0,0.0,4.101707267909273,0.0,0.0
43,38.92,0.0,0.0,4.081754673004998,0.0,0.0
44,39.92,0.0,0.0,4.075774677788212,0.0,0.0
45,40.92,0.0,0.0,4.095285138232468,0.0,0.0
46,41.92,0.0,0.0,4.080446223963378,0.0,0.0
47,42.92,0.0,0.0,4.099336463225402,0.0,0.0
48,43.92,0.0,0.0,4.086519003609932,0.0,0.0
49,44.92,0.0,0.0,4.096247798806883,0.0,0.0
50,45.92,0.0,0.0,4.089190497833744,0.0,0.0
51,46.92,0.0,0.0,4.089828686034546,0.0,0.0
52,47.92,0.0,0.0,4.1021111472385074,0.0,0.0
53,48.92,0.0,0.0,4.080454231117556,0.0,0.0
54,49.92,0.0,0.0,4.1115963170549215,0.0,0.0
55,50.92,0.0,0.0,4.085374555585096,0.0,0.0
56,51.92,0.0,0.0,4.094729262593041,0.0,0.0
57,52.92,0.0,0.0,4.105440213884998,0.0,0.0
58,53.92,0.0,0.0,4.081506797485748,0.0,0.0
59,54.92,0.0,0.0,4.097700903744316,0.0,0.0
60,55.92,0.0,0.0,4.105432607388232,0.0,0.0
61,56.92,0.0,0.0,4.097180413857798,0.0,0.0
62,57.92,0.0,0.0,4.106216690090149,0.0,0.0
63,58.92,0.0,0.0,4.096035638956973,0.0,0.0
64,59.92,0.0,0.0,4.106996724299772,0.0,0.0
65,60.0,0.0,0.0,4.125117247431527,0.0,0.0
66,60.00000000000001,8.958550963200047,35.009999997923,3.8969003257793884,1.768175919399567e-17,6.910028104857031e-17
67,60.00391562388317,8.95857202065835,35.010000000000005,3.917202202228171,9.743999600877132e-06,3.807944226379494e-05
68,60.007831247766326,8.958593051474923,35.010000000000964,3.9020222329415373,1.9488022076394265e-05,7.615888452752184e-05
69,60.01566249553265,8.958635018728327,35.00999999987178,3.9138976961230414,3.897615832076829e-05,0.0001523177690547637
70,60.0313249910653,8.958718508925198,35.009999999999984,3.9014255898229204,7.795279404973074e-05,0.00030463553810973606
71,60.06264998213059,8.958884467903061,35.00999999999999,3.899733895961324,0.00015590750958084974,0.0006092710762196808
72,60.125299964261174,8.959212081427388,35.00999999999997,3.9104169712872983,0.00031182264202684007,0.0012185421524396392
73,60.18794994639176,8.959537487139773,35.0100000006239,3.9229528795453716,0.0004677434374345155,0.0018278132286704556
74,60.31324991065293,8.960181596756309,35.01,3.9146357360142257,0.0007796074468364964,0.003046355381110304
75,60.438549874914095,8.960820021706393,35.01000000317156,3.9242501663122815,0.0010914936769672076,0.004264897533660541
76,60.56384983917526,8.961453492632916,35.01000000552606,3.8980154859223473,0.001403401955399156,0.005483439686292727
77,60.814449767697596,8.962710657385598,35.01000000141558,3.918124227159613,0.002027306024873376,0.007920523991270963
78,61.06504969621993,8.963955341424295,35.009999995065286,3.8997814549458467,0.002651296738161798,0.01035760829580715
